id,direction,orientation,area,dli_spr,dli_sum,dli_aut,dli_win,rad_spr,rad_sum,rad_aut,rad_win,temp_spr_min,temp_spr_max,temp_sum_min,temp_sum_max,temp_aut_min,temp_aut_max,temp_win_min,temp_win_max,hum_spr_min,hum_spr_max,hum_sum_min,hum_sum_max,hum_aut_min,hum_aut_max,hum_win_min,hum_win_max
1,East,Vertical,531,8.17,11.25,5.24,2.93,101.75,140.09,64.51,35.69,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
2,East,Vertical,42,7.31,10.55,4.07,1.7,91.02,131.33,50.11,20.71,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
3,East,Vertical,166,11.29,15.04,7.52,3.85,140.67,187.33,92.69,46.92,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
4,East,Vertical,156,8.3,12.5,4.38,2.12,103.39,155.62,53.92,25.77,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
5,East,Vertical,31,14.06,19.62,8.35,4.03,175.06,244.39,102.88,49.15,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
6,East,Vertical,33,13.5,19.25,7.62,3.5,168.15,239.7,93.91,42.68,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
7,South-East,Vertical,24,19.13,22.12,16.09,10.6,238.25,275.5,198.18,129.13,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
8,South,Vertical,229,22.41,22.39,19.4,10.37,279.09,278.9,238.96,126.36,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
9,South,Vertical,92,12.77,11.08,13.76,9.65,159.03,137.95,169.45,117.61,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
10,South,Vertical,40,8.53,7.58,8.43,5.79,106.21,94.35,103.83,70.49,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
11,South,Vertical,123,14.67,13.33,15.52,11.5,182.71,166.07,191.19,140.14,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
12,South,Vertical,33,11.31,12.34,9.02,5.05,140.8,153.64,111.1,61.57,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
13,South,Vertical,293,14.52,14.63,13.78,9.88,180.8,182.21,169.73,120.32,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
14,South,Vertical,31,22.4,21.46,22.13,15.75,278.97,267.24,272.61,191.92,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
15,South,Vertical,14,18.68,18.21,17.34,10.99,232.66,226.76,213.66,133.94,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
16,South,Vertical,37,23.01,22.25,22.54,15.99,286.62,277.1,277.67,194.83,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
17,South,Vertical,15,22.34,21.38,22.09,15.73,278.23,266.31,272.1,191.64,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
18,West,Vertical,557,19.75,26.47,11.67,5.62,246.02,329.69,143.77,68.49,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
19,West,Vertical,39,9.94,13.43,5.55,2.57,123.75,167.31,68.35,31.37,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
20,West,Vertical,42,9.14,12.28,5.22,2.38,113.82,152.89,64.27,28.98,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
21,West,Vertical,178,14.47,18.14,9.45,4.85,180.15,225.88,116.39,59.03,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
22,West,Vertical,117,17.08,23.29,9.7,4.5,212.67,290.08,119.49,54.78,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
23,West,Vertical,21,16.61,23.14,8.61,3.41,206.91,288.16,106.07,41.55,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
24,West,Vertical,22,21.05,28.07,12.77,6.62,262.16,349.54,157.35,80.62,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
25,North,Vertical,229,5.79,8.43,3.25,1.94,72.06,104.93,40.01,23.65,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
26,North,Vertical,14,0.38,0.53,0.17,0.11,4.73,6.62,2.15,1.32,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
27,North,Vertical,60,3.9,5.94,2.02,1.22,48.63,73.92,24.93,14.82,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
28,North,Vertical,14,0.41,0.65,0.16,0.1,5.14,8.1,2.01,1.19,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
29,North,Vertical,47,2.52,3.23,1.46,0.89,31.41,40.22,17.94,10.9,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
30,North,Vertical,554,4.15,6.08,2.38,1.45,51.73,75.67,29.36,17.72,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
31,North,Vertical,4,3.08,4.07,1.68,1.04,38.31,50.68,20.66,12.62,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
32,Up,Horizontal,35,7.98,12.32,4.05,1.94,99.41,153.46,49.92,23.67,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
33,Up,Horizontal,196,6.6,10.88,2.43,1.24,82.18,135.54,29.95,15.13,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
34,Up,Horizontal,61,11.81,17.47,5.68,2.26,147.08,217.57,69.96,27.55,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
35,Up,Horizontal,471,18.32,24.96,10.54,4.84,228.13,310.84,129.87,58.93,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
36,Up,Horizontal,40,28.38,39.8,15.61,7.03,353.48,495.71,192.3,85.69,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
37,Up,Horizontal,74,18.6,26.96,9.43,4.01,231.59,335.72,116.18,48.82,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
38,Up,Horizontal,70,26.67,37.05,14.81,6.82,332.11,461.47,182.45,83.05,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
39,Up,Horizontal,15,27.11,37.63,15.13,6.74,337.57,468.61,186.33,82.1,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
40,Up,Horizontal,13,14.24,22.27,5.58,1.77,177.34,277.38,68.69,21.55,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
41,Up,Horizontal,742,30.57,42.85,16.71,7.71,380.76,533.67,205.85,93.9,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
42,Up,Horizontal,103,13.99,18.42,8.82,4.71,174.24,229.37,108.66,57.34,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
43,Up,Horizontal,77,7.74,9.31,5.78,3.53,96.39,115.89,71.22,42.99,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
44,Up,Horizontal,50,9.07,11.74,5.94,3.08,112.94,146.19,73.23,37.52,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
45,Up,Horizontal,66,14.51,19.85,8.63,4.45,180.76,247.2,106.32,54.19,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
46,Up,Horizontal,293,9.96,15.59,4.4,2.08,124.05,194.14,54.2,25.31,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
47,Up,Horizontal,56,15.23,19.92,9.66,4.91,189.72,248.11,118.95,59.86,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
48,Up,Horizontal,56,15.88,21.03,9.91,4.97,197.79,261.92,122.02,60.53,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
49,Up,Horizontal,23,8.68,13.17,4.41,2.24,108.05,163.96,54.38,27.27,1,20,8,28,-2,24,-9,13,39,100,36,100,26,100,38,100
