scenario_id,location_id,crop_system_id
1,28,18
1,28,21
2,37,24
3,11,12
3,11,24
3,11,29
3,21,22
3,40,15
3,40,25
4,48,10
4,48,18
4,23,22
4,23,24
4,23,3
4,29,8
4,29,4
5,35,20
5,29,30
5,29,32
5,29,22
6,9,20
6,9,32
6,3,20
6,3,5
6,3,15
6,18,1
6,18,10
6,18,7
7,46,27
7,46,26
8,35,21
8,35,26
8,35,32
9,37,31
9,37,12
9,48,27
9,48,25
9,31,28
10,32,21
10,49,18
10,49,32
10,49,20
11,24,21
11,24,27
11,24,15
11,34,4
11,32,30
11,32,20
11,32,16
12,17,21
12,43,13
12,43,6
12,43,25
13,45,23
13,45,5
13,45,26
14,31,19
14,42,21
14,42,25
15,39,17
16,45,27
16,45,15
16,45,20
16,8,23
17,8,15
17,13,9
17,13,19
17,13,20
18,41,14
18,41,1
18,41,17
18,11,16
19,1,19
20,47,7
20,47,10
21,5,9
21,5,19
21,21,23
21,21,18
21,3,20
21,3,1
21,3,16
22,44,28
23,9,18
23,42,32
23,42,6
23,42,28
24,12,23
24,33,12
25,34,2
25,45,5
26,28,24
26,28,19
26,28,4
26,14,29
26,42,27
26,42,6
26,42,30
27,27,16
27,27,15
27,27,13
27,44,25
27,20,28
27,20,23
28,33,30
28,33,14
28,33,21
28,4,3
28,4,19
28,4,12
28,14,22
28,14,31
29,16,25
29,16,22
30,44,32
31,28,27
31,28,32
31,28,29
31,41,16
31,41,30
31,41,31
32,14,13
32,14,28
33,8,30
33,8,23
33,8,2
34,48,28
34,48,3
34,16,32
34,16,27
34,39,24
35,18,10
35,18,1
35,24,16
36,22,17
36,22,29
36,30,6
36,25,31
36,25,30
37,8,9
37,8,31
37,5,27
37,5,20
37,5,10
37,34,13
38,14,10
38,14,16
39,29,22
39,29,19
39,29,18
40,49,13
40,49,25
40,49,7
40,34,24
40,34,18
40,34,19
41,19,7
41,10,18
41,48,18
41,48,14
42,17,20
42,17,18
42,17,23
42,35,10
42,28,17
43,20,28
43,20,26
43,20,6
44,15,32
44,15,9
45,42,23
45,42,2
45,42,13
45,34,1
45,34,15
45,34,5
45,13,17
45,13,26
45,13,4
46,12,2
46,12,29
46,12,28
47,43,9
47,45,31
47,45,29
47,45,9
48,31,17
48,32,14
48,26,5
48,26,30
48,26,4
49,42,31
49,42,17
49,42,1
49,22,27
50,8,6
50,8,23
50,8,10
50,17,30
50,17,15
50,23,16
51,18,1
52,49,30
52,49,3
52,49,23
53,23,17
53,23,1
53,23,25
54,42,25
54,31,6
54,45,27
54,45,32
54,45,20
55,21,13
55,21,24
56,42,7
56,4,11
56,4,14
56,4,13
56,12,31
57,18,14
57,44,29
58,14,15
58,14,14
58,43,8
58,43,24
58,43,4
58,48,5
58,48,26
58,48,8
59,4,31
59,4,5
59,23,21
59,33,23
60,9,25
60,9,5
60,9,12
60,3,21
60,3,18
60,3,29
61,41,4
62,43,28
62,43,7
62,43,31
63,46,7
64,42,7
64,4,28
64,17,18
64,17,7
65,41,27
65,17,16
65,20,31
65,20,16
65,20,23
66,6,22
66,18,11
67,22,10
68,48,21
68,48,14
68,26,27
68,9,9
68,9,21
69,49,17
69,10,15
69,40,4
70,26,3
70,26,1
70,21,2
71,47,4
71,45,16
71,45,26
71,45,15
72,11,31
72,40,15
72,40,10
72,40,14
72,9,7
72,9,20
72,9,31
73,12,18
73,12,23
73,12,17
73,28,12
73,28,30
73,32,6
73,32,31
